hanzi,traditional,pinyin,pinyin_numeric,hsk_level,frequency,pos,meaning_en,meaning_ko,classifiers
爱,愛,ài,ai4,1,130,v/vn/b,to love; to be fond of; to like; affection; to be inclined (to do sth); to tend to (happen),"사랑하다, 좋아하다",
八,八,bā,ba1,1,1362,m/t,eight; 8,"여덟, 8",
爸爸,爸爸,bà ba,ba4 ba5,1,908,n,(coll.) father; dad,"아빠, 아버지",个/位
杯子,杯子,bēi zi,bei1 zi5,1,6162,n,cup; glass,"컵, 잔",个/只
北京,北京,Běi jīng,Bei3 jing1,1,4799,ns,"Beijing, capital of the People's Republic of China",베이징(중국의 수도),
本,本,běn,ben3,1,222,r/q/d/n,"root; stem; origin; source; this; the current; original; inherent; originally; classifier for books, periodicals, files etc",권 (책을 세는 양사),
不,不,bù,bu4,1,9,d,no; not so; (bound form) not; un-,"아니다, ~하지 않다",
不客气,不客氣,bù kè qi,bu4 ke4 qi5,1,16723,,you're welcome; don't mention it; impolite; rude; blunt,"천만에요, 별말씀을요",
菜,菜,cài,cai4,1,1448,n,dish (type of food); vegetable; cuisine; (coll.) (one's) type; (of one's skills etc) weak; poor,"요리, 채소",盘/道
茶,茶,chá,cha2,1,1910,n/g,tea; tea plant,차(마시는 차),杯/壶
吃,吃,chī,chi1,1,142,v,"to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer (shock, injury, defeat etc)",먹다,
出租车,出租車,chū zū chē,chu1 zu1 che1,1,2677,n,taxi; (Tw) rental car,택시,
打电话,打電話,dǎ diàn huà,da3 dian4 hua4,1,1218,v,to make a telephone call,전화를 걸다,
大,大,dà,da4,1,66,a/d/n/g,big; large; great; older (than another person); eldest (as in 姐); greatly; freely; fully; (dialect) father; (dialect) uncle (father's brother),크다,
的,的,de,de5,1,1,u/n,of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); also pr. [dì] or [di] in poetry and songs,~의 (소유·수식을 나타내는 조사),
点,點,diǎn,dian3,1,58,qt/n/t/v,point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更; dot stroke in Chinese characters; classifier for items,"시(시각), 조금, 주문하다",
电脑,電腦,diàn nǎo,dian4 nao3,1,946,n,computer,컴퓨터,台
电视,電視,diàn shì,dian4 shi4,1,779,n,television; TV,텔레비전,台/个
电影,電影,diàn yǐng,dian4 ying3,1,546,n,movie; film,영화,部/片/幕/场
东西,東西,dōng xi,dong1 xi5,1,226,n/f/nr,thing; stuff; person,"물건, 것",个/件
都,都,dōu,dou1,1,25,d/g,all; both; entirely; (used for emphasis) even; already; (not) at all,"모두, 다",
读,讀,dú,du2,1,1013,v,to read out; to read aloud; to read; to attend (school); to study (a subject in school); to pronounce,"읽다, 공부하다",
对不起,對不起,duì bu qǐ,dui4 bu5 qi3,1,1577,v,I'm sorry; excuse me; I beg your pardon; to let (sb) down; to disappoint,"미안합니다, 죄송합니다",
多,多,duō,duo1,1,80,a/m/ad/d/v/g,many; much; too many; in excess; (after a numeral) ... odd; how (to what extent) (Taiwan pr. [duó]); (bound form) multi-; poly-,많다,
多少,多少,duō shǎo,duo1 shao3,1,526,r,number; amount; somewhat,"얼마, 몇",
儿子,兒子,ér zi,er2 zi5,1,665,n,son,아들,
二,二,èr,er4,1,664,m/t,two; 2; (Beijing dialect) stupid,"둘, 2",
饭馆,飯館,fàn guǎn,fan4 guan3,1,16449,n,restaurant,식당,家
飞机,飛機,fēi jī,fei1 ji1,1,1067,n,airplane,비행기,架
分钟,分鐘,fēn zhōng,fen1 zhong1,1,465,qt,minute,분(시간 단위),
高兴,高興,gāo xìng,gao1 xing4,1,920,a/an,happy; glad; willing (to do sth); in a cheerful mood,"기쁘다, 즐겁다",
个,個,gè,ge4,1,19,q/g,(classifier used before a noun that has no specific classifier); (bound form) individual,개(사물을 세는 양사),
工作,工作,gōng zuò,gong1 zuo4,1,111,vn/v/n,to work; (of a machine) to operate; job; work; task,"일하다, 일, 직업",个/份/项
狗,狗,gǒu,gou3,1,620,n,dog,개(동물),只/条
汉语,漢語,Hàn yǔ,Han4 yu3,1,13422,nz,Chinese language,중국어,门
好,好,hǎo,hao3,1,20,a/d/v,good; appropriate; proper; all right!; (before a verb) easy to; (before a verb) good to; (before an adjective for exclamatory effect) so; (verb complement indicating completion); (of two people) close; on intimate terms; (after a personal pronoun) hello,"좋다, 안녕(하다)",
喝,喝,hē,he1,1,428,g/vn,to drink; variant of 嗬,마시다,
和,和,hé,he2,1,19,cc/p/v/qv/g/n,(joining two nouns) and; together with; with (Taiwan pr. [hàn]); (math.) sum; to make peace; (sports) to draw; to tie; (bound form) harmonious; (bound form) Japan; Japanese,"~와, ~과, 그리고",
很,很,hěn,hen3,1,35,d,(adverb of degree); quite; very; awfully,"매우, 아주",
后面,後面,hòu mian,hou4 mian5,1,1300,f,the back; the rear; the last bit; behind; near the end; at the back; later; afterwards,"뒤, 뒤쪽",
回,回,huí,hui2,1,225,v/qv,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),"돌아가다, 돌아오다",
会,會,huì,hui4,1,23,v/n,can; to have the skill; to know how to; to be likely to; to be sure to; to meet; to get together; meeting; gathering; (suffix) union; group; association; (bound form) a moment (Taiwan pr. [huǐ]),"할 줄 알다, ~할 것이다",
火车站,火車站,huǒ chē zhàn,huo3 che1 zhan4,1,7270,n,train station,기차역,
几,幾,jǐ,ji3,1,178,m/d,how much; how many; several; a few,몇,
家,家,jiā,jia1,1,124,n/q,"home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian","집, 가족",个
叫,叫,jiào,jiao4,1,200,v/p/n,to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood),"부르다, ~라고 부르다",
今天,今天,jīn tiān,jin1 tian1,1,155,t,today; at the present; now,오늘,
九,九,jiǔ,jiu3,1,2040,m/t/b,nine; 9,"아홉, 9",
开,開,kāi,kai1,1,195,v/q,"to open (transitive or intransitive); (of ships, vehicles, troops etc) to start; to turn on; to put in operation; to operate; to run; to boil; to write out (a prescription, check, invoice etc); (directional complement) away; off; carat (gold); abbr. for Kelvin, 开尔文; abbr. for 开本, book format","열다, (차 등을) 운전하다, 켜다",
